HOME_TEAM_HOME_WINS,HOME_TEAM_ROAD_WINS,AWAY_TEAM_HOME_WINS,AWAY_TEAM_ROAD_WINS,HOME_TEAM_RATING,AWAY_TEAM_RATING,HOME_TEAM_PPG,HOME_TEAM_PAPG,AWAY_TEAM_PPG,AWAY_TEAM_PAPG,HOME_TEAM_WINS
0.4,0.444,0.9,0.556,0.3666666666666667,1.0,100,105,99,90,0
0.333,0.429,0.111,0.091,0.8666666666666667,0.06666666666666665,99,106,89,102,1
0.667,0.556,0.75,0.556,0.9,0.6666666666666667,101,95,99,98,1
0.545,0.375,0.444,0.2,0.9333333333333333,0.33333333333333337,102,103,103,109,1
0.667,0.455,0.636,0.5,0.7333333333333334,0.43333333333333335,96,99,102,99,0
0.444,0.545,0.75,0.333,0.4,0.8333333333333334,97,97,96,92,0
0.667,0.5,0.625,0.455,0.9666666666666667,0.2666666666666667,109,103,96,96,1
0.6,0.333,0.5,0.333,0.09999999999999998,0.033333333333333326,100,101,98,105,1
0.545,0.375,0.909,0.889,0.6,0.7666666666666666,105,103,114,98,0
0.455,0.333,0.3,0.667,0.23333333333333328,0.4666666666666667,106,108,101,101,0
0.9,0.5,0.429,0.167,0.30000000000000004,0.5666666666666667,103,97,96,104,1
0.625,0.5,0.364,0.444,0.7,0.3666666666666667,100,100,98,104,1
0.909,0.9,0.417,0.333,0.7666666666666666,0.23333333333333328,115,99,105,108,1
0.444,0.364,0.25,0.2,0.8,0.19999999999999996,100,101,96,105,1
0.9,0.6,0.636,0.545,1.0,0.43333333333333335,98,89,102,99,1
0.5,0.5,0.444,0.182,0.1333333333333333,0.33333333333333337,95,93,102,109,1
0.5,0.444,0.714,0.538,0.5333333333333333,0.6333333333333333,100,106,101,96,0
0.429,0.154,0.625,0.417,0.5666666666666667,0.2666666666666667,96,103,96,96,1
0.727,0.333,0.5,0.3,0.5,0.033333333333333326,103,99,97,106,1
0.583,0.375,0.3,0.7,0.9333333333333333,0.4666666666666667,103,102,101,101,1
0.25,0.182,0.7,0.556,0.19999999999999996,0.9,96,105,101,95,0
0.6,0.455,0.111,0.083,0.7333333333333334,0.06666666666666665,96,100,91,103,1
0.4,0.545,0.385,0.429,0.4,0.8666666666666667,96,97,100,107,0
0.636,0.333,0.583,0.5,0.09999999999999998,0.16666666666666663,101,100,102,96,1
0.714,0.571,0.5,0.375,0.6333333333333333,0.6,100,95,106,105,0
0.636,0.5,0.692,0.5,0.43333333333333335,0.9666666666666667,102,100,109,102,1
0.75,0.5,0.909,0.6,0.6666666666666667,1.0,99,98,99,89,1
0.625,0.385,0.385,0.5,0.2666666666666667,0.8666666666666667,95,96,101,107,1
0.615,0.375,0.5,0.364,0.9333333333333333,0.8,103,102,100,100,1
0.75,0.429,0.583,0.444,0.8333333333333334,0.16666666666666663,96,91,101,97,0
0.5,0.273,0.364,0.4,0.033333333333333326,0.3666666666666667,96,105,97,103,1
0.417,0.3,0.667,0.5,0.23333333333333328,0.7,104,109,100,99,1
0.571,0.5,0.917,0.9,0.1333333333333333,0.7666666666666666,95,93,115,99,0
0.5,0.154,0.5,0.444,0.5666666666666667,0.6,95,102,106,105,1
0.909,0.5,0.444,0.444,0.30000000000000004,0.5333333333333333,103,96,99,105,0
0.3,0.636,0.667,0.333,0.4666666666666667,0.09999999999999998,101,101,101,100,0
0.444,0.167,0.636,0.455,0.33333333333333337,0.7333333333333334,101,108,96,99,0
0.111,0.077,0.222,0.182,0.06666666666666665,0.19999999999999996,90,102,97,106,1
0.5,0.333,0.667,0.462,0.8,0.7,100,101,100,99,0
0.667,0.5,0.625,0.571,0.43333333333333335,0.6333333333333333,102,100,100,96,0
0.778,0.5,0.364,0.364,0.6666666666666667,0.3666666666666667,98,98,96,103,1
0.75,0.333,0.917,0.909,0.5,0.7666666666666666,102,98,115,99,0
0.667,0.385,0.5,0.4,0.2666666666666667,0.6,96,96,105,104,1
0.385,0.444,0.4,0.167,0.8666666666666667,0.33333333333333337,101,107,101,109,1
0.643,0.375,0.7,0.6,0.9333333333333333,0.9,103,101,101,95,0
0.364,0.545,0.2,0.077,0.4,0.06666666666666665,96,98,91,102,1
0.909,0.545,0.545,0.273,1.0,0.033333333333333326,98,89,96,103,1
0.444,0.5,0.222,0.167,0.5333333333333333,0.19999999999999996,99,103,96,105,0
0.636,0.5,0.917,0.545,0.7333333333333334,1.0,97,99,98,88,0
0.692,0.429,0.692,0.444,0.8333333333333334,0.9666666666666667,96,92,108,103,1
0.455,0.333,0.7,0.636,0.8,0.9,100,101,101,95,1
0.462,0.3,0.583,0.5,0.23333333333333328,0.16666666666666663,105,108,102,97,0
0.625,0.6,0.364,0.333,0.6333333333333333,0.3666666666666667,99,95,96,102,0
0.5,0.5,0.667,0.4,0.1333333333333333,0.09999999999999998,96,94,101,99,0
0.615,0.5,0.222,0.231,0.43333333333333335,0.19999999999999996,101,100,97,105,1
0.667,0.5,0.429,0.444,0.7,0.8666666666666667,100,100,102,107,0
0.7,0.385,0.545,0.25,0.2666666666666667,0.033333333333333326,98,97,95,102,1
0.4,0.154,0.833,0.5,0.33333333333333337,0.30000000000000004,101,109,102,96,1
0.417,0.545,0.556,0.154,0.4,0.5666666666666667,97,98,95,101,1
0.4,0.5,0.5,0.364,0.5333333333333333,0.6,99,104,106,105,1
0.8,0.5,0.692,0.333,0.6666666666666667,0.5,98,97,102,99,0
0.429,0.5,0.429,0.3,0.8666666666666667,0.23333333333333328,102,107,104,108,1
0.6,0.375,0.667,0.455,0.9333333333333333,0.09999999999999998,102,101,101,99,1
0.714,0.429,0.833,0.455,0.8333333333333334,0.30000000000000004,96,92,102,97,1
0.545,0.231,0.462,0.545,0.033333333333333326,0.4,95,102,97,97,1
0.273,0.636,0.5,0.333,0.4666666666666667,0.8,100,101,101,102,0
0.2,0.071,0.364,0.385,0.06666666666666665,0.3666666666666667,91,102,96,102,0
0.917,0.583,0.583,0.545,1.0,0.16666666666666663,98,88,102,97,1
0.556,0.6,0.917,0.917,0.6333333333333333,0.7666666666666666,100,96,115,99,0
0.444,0.5,0.7,0.583,0.1333333333333333,0.9,95,94,102,96,1
0.556,0.143,0.917,0.923,0.5666666666666667,0.7666666666666666,95,102,115,100,0
0.727,0.385,0.222,0.214,0.2666666666666667,0.19999999999999996,98,97,96,105,1
0.583,0.5,0.5,0.333,0.7333333333333334,0.6,96,99,106,105,1
0.692,0.4,0.429,0.273,0.9666666666666667,0.23333333333333328,108,102,105,109,1
0.455,0.5,0.6,0.5,0.5333333333333333,0.7,99,104,100,100,0
0.727,0.5,0.5,0.308,0.6666666666666667,0.6,98,98,105,105,0
0.692,0.4,0.75,0.385,0.5,0.2666666666666667,102,99,99,97,1
0.733,0.429,0.417,0.5,0.8333333333333334,0.5333333333333333,96,92,100,104,0
0.583,0.231,0.5,0.385,0.033333333333333326,0.8,95,102,102,102,1
0.25,0.636,0.625,0.375,0.4666666666666667,0.9333333333333333,100,101,102,101,0
